	clouds	humidity	name	pressure	temp	temp_max	temp_min	wd	ws	City	lats	lngs
0	0.0	31.0	Chaoyang	978.46	56.99	56.99	56.99	2.08	304.0	chaoyang	41	120
1	0.0	65.0		1011.62	-0.21	-0.21	-0.21	1.63	60.0002	talnakh	70	92
2	92.0	100.0	Vopnafjörður	1013.81	38.09	38.09	38.09	27.58	129.5	hofn	65	-13
3	80.0	100.0		1030.42	79.17	79.17	79.17	18.75	57.0002	kapaa	21	-174
4	12.0	100.0		1028.97	21.17	21.17	21.17	18.52	11.5002	lavrentiya	75	-167
5	56.0	91.0		984.79	4.92	4.92	4.92	30.71	223.5	vaini	-70	-168
6	44.0	100.0		1025.8	81.51	81.51	81.51	8.12	327.0	bandarbeyla	7	61
7	92.0	96.0	Suchdol nad Luznici	948.31	48.12	48.12	48.12	18.75	301.0	chlum u trebone	48	14
8	92.0	98.0		1020.78	49.29	49.29	49.29	19.53	236.0	mataura	-48	-153
9	32.0	100.0		1011.78	44.79	44.79	44.79	31.94	235.5	arraial do cabo	-43	-26
10	76.0	100.0		1027.1	78.41	78.41	78.41	17.74	114.0	victoria	-6	50
11	1.0	93.0	Ness City	1024.0	46.4	46.4	46.4	4.7	120.0	hays	38	-99
12	24.0	100.0		1028.72	74.67	74.67	74.67	9.24	109.0	voh	-23	162
13	0.0	0.0		621.56	-54.03	-54.03	-54.03	7.56	109.5	busselton	-78	86
14	48.0	100.0		1021.99	52.17	52.17	52.17	14.5	175.0	mahebourg	-38	76
15	92.0	100.0		1031.88	74.31	74.31	74.31	17.18	80.0002	hilo	22	-141
16	0.0	58.0	El Borma	1008.46	65.99	65.99	65.99	7.11	29.5002	duz	32	8
17	0.0	32.0	Firuzabad	902.59	79.53	79.53	79.53	3.76	281.0	khormuj	28	52
18	0.0	99.0		1024.91	78.36	78.36	78.36	17.18	95.0002	atuona	-4	-130
19	32.0	66.0	Kasongo-Lunda	931.37	83.85	83.85	83.85	3.2	145.5	kasongo-lunda	-6	17
20	88.0	84.0	Leshukonskoye	991.59	34.76	34.76	34.76	5.1	233.0	koslan	65	48
21	92.0	100.0		1042.66	60.14	60.14	60.14	10.25	102.5	lagoa	46	-31
22	80.0	96.0		1006.43	38.22	38.22	38.22	29.26	266.5	taolanaro	-48	52
23	56.0	100.0		1010.0	43.67	43.67	43.67	17.29	357.5	sorland	69	7
24	80.0	95.0		1016.32	31.56	31.56	31.56	28.81	223.0	ushuaia	-60	-58
25	76.0	100.0	Mahanoro	1035.94	74.94	74.94	74.94	14.27	156.5	mahanoro	-20	49
26	76.0	98.0		1030.02	65.13	65.13	65.13	23.33	311.0	jamestown	-29	-20
27	0.0	0.0		659.9	-50.7	-50.7	-50.7	11.59	198.0	albany	-73	105
28	24.0	100.0		1034.8	58.92	58.92	58.92	24.34	157.5	kiama	-37	155
29	0.0	92.0	Baykalovsk	1013.16	22.16	22.16	22.16	15.17	140.5	karaul	71	81
30	76.0	99.0		1017.45	84.03	84.03	84.03	22.1	357.5	airai	14	140
31	44.0	100.0	Point Lay	1013.4	31.34	31.34	31.34	35.41	60.5002	nome	69	-165
32	12.0	47.0		751.9	-21.81	-21.81	-21.81	21.21	37.5002	punta arenas	-80	-101
33	0.0	100.0		1034.96	67.16	67.16	67.16	8.46	150.5	carnarvon	-26	97
34	0.0	65.0	Cernado	937.53	51.09	51.09	51.09	2.08	111.5	verin	42	-7
35	92.0	85.0		1015.91	35.52	35.52	35.52	29.15	339.5	cape town	-54	-8
36	0.0	98.0		1028.07	78.54	78.54	78.54	14.05	114.0	mackay	-19	150
37	80.0	74.0	Baykit	966.14	29.13	29.13	29.13	4.09	254.0	baykit	62	97
